!بسيطة يا متر! كانت وجبة ممتازة	bãsʲit ʲa ʲimit kʲæːnʲɪt wɛkbɨ mɪm tɛzɪ
abdel fattah al-sisi	ʕabdælf ælˈtæhˤisˤ
اليونان	laleoneˈn
ام كلثوم	umk˂ulˈsum
اما	ma
امبارح	embeirɛ
امتى	emta
امريكا	amriːka
امشي اطلع بره	ɛmsʃɛdovɑr
انا ابوكي يا ليلي لقد وجدتكي بعد مدة طويلة	ɑnɑ ʔabk jɑ liːl ʔalaqʔudʒtk maʕdɑ mdˤa tɔʔɪlɑ
انا بحب الكشري أوي	ʔana bħib aːlkɑʃɑr ʔawij
انا بحبك أوي	æn bħæbk ʔawj
انا بحبك أوي ( للمذكر )	ʔan bˈħabːæk ʔaw
انا بعرف اغني	ænɑ baʕrafa vˈanː
انا حاسس بخطر عليا	ana ħəsɨs bɪr xɔtɔraːr ɛɬer je ʔ
انا عاوز اتفسح	qɑnɑ ʕaʕoːz ʔabfasˤa
انا محتاج مساعدة !	ʔana maħtak saʕa
انا مش متأكد من الموضوع دا	ɑnɑ maːʃ mtˈʔakn minːɑːlˈtˤʕɑtˤ
انا هاكل سمك النهارده	ʔalaħaa kul samak malaɣu
انا هحس	ʔana ħasˈs
اناقش	neiʃ
انت	entˌa
انت تؤمر	entɒt ɒtˈmɒɾˈ
انت تعرفه ؟	entateˈrafo
انت تعرفها ؟	ɪltˈa tˈɪʔarˈɛfha
انت حد جميل أوي	aːntħadˤ gamel ʔɑˈwɪ
انت لطيفة أوي	ɪnt lˈtˤtˤe f ʔawj
انت مالك	ɔltɛmelk
انت متعصب ليه؟	ɪntˈɛr mɪtˈahaːr sˈab di
انت منين	ɛntˈɛ mɛ̃ˌnˈeːn
انت مين ؟	entˈɛ miːn
انت هتحس	ɪnta ħatˈħæs
انت هتحسي	ɪntaħahhtˤɑx
انت يابني نحس من يومك اصلا	ɪntɑːr nʲ naħsɪm ʔɪn æljɑːmɑːk ʔɑsɫɑ
انترنت	entɔrˈnɛt
انتريه	antˈri
انتم	intu
انتو	intu
انتو هتحسوا	ɑntuː ħadˈħæsˤw
انتي	inti
انتي تؤمري	nitʃitʃaːmɦɾi
انتي مين ؟	entim
انجلترا	inŋeltära
انجليزي	inŋgˈiliˈzi
انزلي	ndʒl
انسا	enθe
انسان	ɛ̃nˈsæːn
اه	œ̃n
او	au
اوروبا	uɾupːa
اوريجانو	ɾɛgˈnuː
اوضة ابن عمّي	odtɛ bnaʕaːmni
اوضه	oːda
اوكي	a�l
اوي	dˈi
اوْعى تِنْسى	eʊ ɐtˈeɪnsɐ
ايد	ɪt
ايران	n˩˩˦iːʎ˥˩
ايسلندا	ajslɑnˈda
ايميل	imil
ايميلات	ɪmˈlˈɑːt
ايه	i˥˩
ايه الحلاوة دي	tiːjˈdɑː wˈtʃiː
ايه الفقر ده	il fətˈlˈɪðˈa
ايه الملل ده	ʔeːħ ælmlældæ
ايه النحس ده	ɑːlhnadˤa
ايه النكد ده	e̞ɢiːn ɑkɑdˤɑ
ايه ده	ijde
ايه دي	idʒi
ايه عكس	iː kaʃ
ايواه	ajua
اَتْكَلِّم	atkalɛn
اَحِبّ	ʔaħd
اِبْتَدَى \ بِيِبْتِدِي	ɪbtada bjwptidiː
اِتخَطَبِت لِ	ʔˈʒʁɑ̃ tʁb lˈi
اِتفقْنا	ɑtˈtˤfˈænɑ
اِتْجَمَّع	et̪kemme
اِتْفقْنا	ɛtefana
اِتْكَلَّموا	ʔˈtˈkɑːlɑːmˈu
اِتْلاعب	ˈtˤlˤʕab
اِتْلاعِب	tɛlaʕd
اِتْنَيْن وِاَرْبَعِين	ɑtˈnɑ wɾbʕĩːn
اِتْولدْت	etwalˈa
اِحْتِجاج	æhtægɛg
اِسْتِفْهامِي	ɪstæfɛmɪ
اِسْمَكْ	ɪsmɛt
اِشْتَغَلْتوا	aʃtaɣalˈtʊ
اِشْتَغَلْتِى	aʃtaɣaːlti
اِعْتَرَفَ	ɑːtˤɑrˌf
اِلْحَجّ	ælˈħæk
اِنتو	entu
اِوْعى	ɑwˈʕa
بؤ	pˈo
بؤجة	boga
باب	bɛv
بابا	bɑːbɑ
بابا غنوج	bɑː baaːnnug
بابايا	babaːja
باجي	pɛgj
باحِبُّه	baħʃab
باخد	voçod
باخوم	baχˈom
باراجواي	bˈarˈʌgəl
باسبور	paspoɾ
باش	beʃ
باشا	beʃa
باشتغل	bæstæʁen
باشمهندس [slash] بشمهندس	baʃmʊˈhændes
باشميل	baʃamɛl
باظ	bɔz
باقي	bˈeɪ
باكستان	pakɪstɛn
باكل	bejkule
بال	bˈeːl
بالاضافة	milaːlɪdˤafˈh
بالترتيب	bɪ̞tːʲɪrtʲsʲìːb
بالدرجة الأساسية	ðˈæˈdˤɑrˈkæ ælæsˈæːsˈɑjɑ
بالدم	beːd˦eːm
بالراحة	berraħa
بالراحة شوية	beːlɾɑːħʰ ʃwɑjɑ
بالطو	balatu
بالمقلوب	balaːmaːluːb
بالنهار	bennoːɦɑːr
بالنَهار	bɪ̞nːɒɾ
بانيو	banjo
بايخ	bæjɪ̞q
بايظ	bˈɔɪz
بايظة	banˈza
بايعة	baɪˈʕa
بايْعَة	biʕa
بايْعِين	biʕan
ببعت	babat
ببقي	bɛbɛ
بتأخر	bɑtɑχχɑr
بتاخد	betéːxud
بتاع	bʲit˦ʲɛ
بتاعة	ite˥˩ʕente˥˩ʃ˥˩ʂʊŋ˨˩˦joʊ˨˩˦te˥˩ʰa˥˥ʈtʰu˧˥pɔ˥˥tʰa˥˥ʈʂʊŋ˨˩˦
بتاعت	betɛːʕɛt
بتاعتك	pɛtaːtɛkpɛtaːtɛk
بتاعتكو	betaʕtkɔ
بتاعتنا	betaʕitnaː
بتاعته	bitaaˈtɔ
بتاعتها	betɑʕtˈe
بتاعتهم	betɑːʕtˤəm
بتاعتي	betatsi
بتاعك	betæːʕak
بتاعك (بتاعِك)	batˁaʕk
بتاعنا	betaʕnɑ
بتاعه	beːtɛːʕo
بتاعها	bitaɾhɑ
بتاعهم	bɪtaː˧hom
بتاعي	bt̪ɑːʕiː
بتاكل	betakul
بتبرطم	beːtbortom
بتبقى	betɛbɑ
بتتجمع	bettgmeʕ
بتتعلم	btatˈʕalːam
بتتعلمي	tɪtˈtˈʕalɪmɪ
بتتفشخر	bɪtɪtfæʃxaːr
بتتكون	be̞t̪e̞t̪kau̯en
بتجوز	batgɒuz
بتحبي	bitˈħæbːɪ
بتحبّ	btˈħæb
بتحتاج	btˁaħtˈgˈ
بتحتاجي	btaħtaːg
بتدرس (بِتِدْرِس)	bʲetɪdɾɪs
بتدرس (بِتْدَرِّس)	bɪ̞t̪ dæɾ ɾɪ̞s
بتدرس ايه؟	be tʲidɾɪs e
بتدرسوا	beˈtˈedˈrˈisˈu
بتذاكر	β̞ʝikz̺ɛkɨr
بتذاكري	vizɛkri
بترقص	bɒtɒɾɒs
بتروح	tʃitrua
بتروحو	betruːħu
بتساعد	bˈtˈsˈʔad
بتستعمل	btstʕaml
بتسرع	batsaɾra
بتسمع	bˈɪt
بتسمعي	btsmaʕi
بتشترك	fˈikˈɛlɛʃˈttʃˈˈɛrˈik
بتشتري	bʲeteʃtɛli
بتشتغل	betˈɛʃtɛʁɛl
بتشتغل ايه؟	bitiʃtɣal ʔeː
بتشتغلي	beθɪ̞ʃtɑɢɑɫe
بتشرب	beˈtɪʃʃˈrab
بتشربي	be̞tʃrɒːbiː
بتشمل	bidaʃmɛriː
بتصفح	batˤaːfˈħ
بتطل	beton
بتعتبر	beːtˈoʕtabr
بتعرف	betaʕraf
بتعرف تعمل كدا؟	mtʔaʕˈraf tʕaʕmkl koda btʔaʕˈraf tʕaʕmkl koda
بتعلم	betæʕɪl
بتعمل	btˈʕaml
بتعمل ايه؟	biti æmmele
بتعملي	btaʕmiːlˈli
بتعملي ايه قبل ما تروحي الفصل؟	btaʕmɪl ʔabla mɪtˤɑrˈvɑħ ælfæsl
بتعوز	btɑːz
بتعوزي	btɕʕuzi
بتعيط	beːtˈʕajjɑt
بتفرج	atfɔrˈab
بتفطر	bɛtɪ̞ftɯ̞r
بتفطري	be̞t̪yfʲtʊrˈi
بتفكر	betfaqaɾ
بتفكري	bitfakːorjˈ
بتفهم	bɪtɪfhˈɛm
بتفهمي	btfˈɑmɪ
بتقضي	betɑzˈti
بتقول	bɪtːɔːl
بتقولي	bitˈʔuːli
بتكح	batkħ
بتكلم	bətqɛllɛm
بتكلم عربي مكسر	baθqæːlim aːˈrɑb kɑsɑr
بتكلي	bipˈekli
بتلعب	betelˈʕab
بتنجان	bˌeˌtˌinˈgeːn
بتهزر	vætˈɑzɑr
بتهيأله	biːthɛjjæluːh
بتوجعني	mɛtɔw̃gaɔɲi
بتوعك	betuːʕak
بتوعه	bituro
بتوعهم	beːtɔʕkm
بتيجي	bitˈigi
بجد	bˌeɣˈad
بجري	beˈdɾɪ
بجع	pa˥˥ka˥˥
بح	bˈɛ
بحب	baħab
بحب أتكلم مصري	baħba tˤɑlˈm masˈr
بحبك	baħabk
بحبك (بحبَك)	bħbk
بحبك (بحبِك)	baħæbk
بحبه	baħab
بحبوح	bˈˈabˈhˈabˈħabˈ
بحتاج	baħtɛg
بحر	bɑh
بحسب	baħæsæb
بحضن	baħdɑn
بحيرات	boːħajrɑt
بحيرات توشكى	buħʲirɛt tʊ̞ʃkɑ
بحيرة	bħɪrˈ
بحيرة ناصر	bu ħiːrɑt nɒsˈɾ
بخاف	bˈeχˈif
بخصوص	vˈɛxzˈuz
بخلص	baχlaz
بخمن	baχam
بخيت	bˈiχiːt
بدأ	bˈɛdə
بدأت	bɑdˈʔat
بدأتوا	dˈadˈtˈupˈ
بدأتوا ولا لسه	badadtˤ ɑlˈlɑ lɑsˈɑ
بدرس (بَدَرِّس)	bæðærris
بدرس (بَدْرِس)	bˈadrˈeʃ
بدروم	bɔdrɔːma
بدري	bɛdrɪ
بدفع	bɛtsa
بدلة	beðlɛ
بدور	badoɣor
بدي واحد قهوة	bɑdˈdˤ waːhadˈʔa huːa
بدّو	badu
بذاكر	bezɛkɛr
برا	ara
براحتك (براحتَك)	bɒrɒħtɒˈ
براحتك (براحتِك)	boːnˈʔaʁtˈ
برازيلي	bɾɔzili
برافو	bravo
برامج ثقافيّة	boɾɑmɪ̞k sɑqqɑfɯ̞ ɪ̞jɪ̞m
براية	bɛʒeju
برتاح	bɛrteːħ
برتب	bɛrɑtˈtɯp
برتقال	pɔrtɔn
برتقال [slash] برتقان	portu on
برتقالي	pɔrtˈʌliː
برتقان	vrtuaɲ
برتقان سكري	ar to ɑnˈsku kɛɾiː
برتقاني	burtoɔni
برج	buːrg
برد	bɛrd
برص	burs
برضو	berdu
برغل	burʁʊl
برفيوم	berfym
برق	bɛr
برقص	bɑɾɔs
برقوق	bˈɛruː
برك	bʲiræk
بره‌	bara
بروح	baruːh
بروفة (بِرَوْڤَة)، بِرَوْڤَات	luːva bɾuvɛt
بروّح	bɐrɐwa
برّة	bara
برْفان	bˌaɾˈfan
بزرميط	bozrɔmiːt
بس	pes
بسأل	baːsˤlt
بساعد	bsiːʕadˤ
بستعمل	bastʰaml
بستنى	astanna
بسرعة	bˌɨsuɾˈa
بسرعه	bisurʕa
بسكلتة	bæskellɛtdæm
بسكوت	bʃtˈakˈuːt
بسم الله الرحمن الرحيم	beːsm ælɑhɑ æɾaħmaːnɪ ælˈɾɑʕiːmɑ
بسمة	basma
بسمع	bɑsmɑ
بسنت	basaːnt
بسيب	bastˈiːbɯ
بسيط	bɔsiːt
بسيطة	bosɪito
بسين	bisiːn
بشتري	bəʃtrɛ
بشتغل	baʃtaɣl
بشتغل في بنك	bastʁɑl fʲibænk
بشرب	boʂob
بشرى	bʊ̞ʂɒ
بشكل	beʃækl
بشكلها	beʃklɑhɑ
بشم	baʃɛm
بشويش	bɪsʊˈɛɹ
بص!	busts
بصارة	bɛsɔra
بصاص	bˈɑstsˈɔs
بصحى	bɑshˈa
بصراحة	bsɾɑːħɑ
بصل	bæˈsæl
بصلة	bɑsɑlɑ
بط	bɒt
بطاريق	bɑtɑrɯjq
بطاطا	batoto
بطاطس	tɑzɑtɯz
بطاطس محمرة	ɣɑtɑt asmoχammarɔ
بطاطس مقلية	ʊo tɔtɨs mʲɛlʲɛjæ
بطاقة	bɪtoˈɑ
بطاقة رقم قومي	bʏ̞tɑ ɪ̞t rɑqɑm qɑoɯ̞mʲi
بطاقة شخصية	bɪtaː ʃæχsɯm jɑ
بطانية	bˈotːanˈɛjjɑ
بطبخ	bˈatbˈaχ
بطة	pɐtːɐ
بطح	tɐtɐh
بطرس	otrus
بطريق	bɑtɯ̞rjɯ̞q
بطل تخمن	bottɑg tixɛmmɪn
بطلو بقى	bɐtːɐl bɛ
بطلو قر	ʋt̪ːəluː əɾr
بطلو نكد	bɑtˈl nækæd
بطيء	bɔtɕiː
بطيخ	batːɨx
بعت له رسالة	baʕt lɔɾsɛlɔ
بعتقد	batɑqtɑqt
بعد	baʕd
بعد إذنَك	baʕdɑ ʔiznɑk
بعد إذنِك	baʕde ʔiznɪk
بعد الشر، لا سمح الله	baʕɑtˤ ɑllɑsˤɑr lɑsɑmɑ ħɑlˈnɑl
بعد بُكرة	baʕ dˈə bˈɑkˈra
بعدين	θædˈin
بعمل	daːmæl
بعودة	bʕoːdˤa
بعوز	baʊs
بعيد	baʕiːd
بعيط	bˈaɾaːjjɑtˈ
بعْض	bat
بغبغان	bɑɣæn
بغبغانات	baɣbaɣanit
بغسل	tjˈaɢˈɛsˈʁt
بغل	bɑːr
بغني	d̪esˈẽnnj
بغير هدومي	bɑɣa jɑr bɪ̞ðumɪ̞
بـصَوْتٌ عال	bsutˈʕali
بـصَوْتٌ واطئ	bɛsolt wɛtk
بفتح	bafka
بفطر	boftɑr
بفكر	bɑfakqɯ̞r
بفهم	bafˈhem
بقابل	bqaɑːbl
بقال	bɛl
بقالي	faħaːliː
بقالي خمس سنين في مصر	be ælæ xɛmɛl sˈniːn fmɑsˈr
بقت	bˈɛt
بقتل	baʔtæm
بقدونس	badoːnɪs
بقر	dɑr
بقرا	bɑɾo
بقرات	baɑːrɑːt
بقرة	bɑɑrɑ
بقرر	bɑqɑrɑr
بقسماط	buʃmɔt
بقشيش	bˈɑtʃiːz
بقفل	bafːal
بقول	daˈwl
بقولك ايه (بقولَك ايه)	baː qɑlɑk iː
بقولك ايه (بقولِك ايه)	bʊɑlɪk ɛ
بقى	b
بقية	dˈɛɪjˈɑdˈɛɪɪt
بقيت	bai̯t
بقيتي	dˈɛ
بكام	bɪˈkeɪm
بكح	bakoːx
بكرة	bo˩˥ːkraː
بكرة في المِشمِش	bu krafɪlmɪʃmɪ̞ʃ
بكره	bˈɑkrɑ
بكم	bekom
بلاد	bˈɪlˈeːt
بلاستيك	bˈɛlˈlɛstik
بلاط	balaːt
بلاطة	balata
بلاطي	baloʃˈi
بلاقي	balaʔi
بلبس	belbis
بلجيكا	belʒika
بلد	balad
بلدان	vˈɪldˈeːn
بلدي	ɣ̞anat̪i
بلعب	balʕab
بلغاريا	bolɣaɾja
بلمس	bælmɪs
بله واشرب مايته	dɛ ɫwɑʃ ɾɑmɑjɯt
بلوزة	blˈoːzə
بلوڤر	luːvɚ
بليد	bˈɛliːt
بما فيهم	beːmɑː fiːhm
بمشي	ɟəmʃiː
بنات	dˈɛnˈit
بنات مَبسوطين	banɛt mɑpsultiːn
بناخد	benaxodo
بناكل	viniːkul
بنام	benim
بنبى	bamba
بنت	bɪnt
بنت أختي	pintuxtsi
بنت أخويا	bentɑjˈjɑ
بنت النيل	beŋteŋil
بنت عمي	jˈæn amɪ
بنتعلم	bnɪtˈʕalˤim
بنتكلم	bˈɪnˈɛtkællɪm
بنجلاديش	bæŋgɾadɪ̞ʃ
بنحب	bnaħb
بنحتاج	bɪnɪːhtæg
بندا	pɑŋdɑpɑŋdɑ
بندانة	bendɪnɑ
بنذاكر	bnzeker
بنرقص	bwnoros
بنروح	bnrˈuːh
بنروحو	ɛnluhu
بنروّح	d̪enroaː
بنزل	banzæl
بنزين	benˈziːn
بنستعمل	bnstʕɑmɛl
بنسمع	bˈɪnɪzma
بنشتري	beniʃteɾi
بنشتغل	beːnɪʃtɑgæl
بنشرب	beniʃiɾ
بنطلون	banˈtɑlɔn
بنعمل	benaʕmal
بنعوز	bɒnɒˈuz
بنفطر	bˈɪnɪftˈˈor
بنقول	bnɑːl
بنك	bæŋk
بنلعب	banælˈʕæb
بنما	benama
بنهزر	benhazzɑr
بنوتة	benoːta
بني	bˈɔ̃nˈɪ
بني آدم	beni ɛdæm
بنية تحتية	banjaː taħtijjæ
بهزر	bɑhɑszar
بواب	ðəwˈɛb
بوتان	buteɾ
بوتسوانا	votsʃuena
بوتوجاز	butagɛz
بورتوريكو	portoriko
بورسعيد	boːrsaːˈʔid
بوركينا فاسو	burkina feso
بورما	borma
بوروندي	burunʒi
بوسة	puzla
بوعد	dˈoːnt
بوكسر	bʊ̞ksoɾ
بوكيه	buˈkiː
بولندا	bolanda
بوليفيا	boˈlɛvijɐ
بوم	buum
بومة	ɛmumˌa
بونطة	bunt̪o
بيأجز	biagz
بيئة	bia
بياع السمك	ba ja samək
بياكل	bʲeːæːkʊl
بيبان	ibæn
بيبص	bˈeɪbʊʒ
بيبقى	bʁaˈbˈ
بيت	bˈit
بيت لحم	biːt læħm
بيتعلم	bajatʕalːam
بيتعلموا	biːtˤɑːʕɑlˤim
بيتفشخر	bʲitvˈaʃxɒˈ
بيتكلم	β̞itkælɪ̞m
بيتكلمو	bitkalaimu
بيتكلموا	biːtælˈmɪd
بيتهيألك	bethhejlak
بيتهيألها	betheːjaːlajɑ
بيتهيألي	betɑjɑli
بيتهيألِك	biːthejjɛlɪ̞k
بيجي‎	bigʲ
بيحب	beːˈʕab
بيحتاج	biːħtɑːg
بيحتاجوا	biːħˈtɑːgː
بيخرب	biːxrp
بيخمن	beːχɑmmˈn
بيدرس (بِتِدْرِس)	bjˈedrɛs
بيدرس (بِيْدَرِّس)	bej dæres
بيدّي	bidzʲe
بيذاكر	biːzækɪr
بيرسم	bˈɪɾsən
بيرقص	bjuɾʊs
بيرو	bɪˈɾuː
بيروح	viːrˈuh
بيروحو	biroːħu
بيزعق	bizaː
بيزهق	biːzəbɪzə
بيس يا مان	piːs jɛˈmɛn
بيساعد	bisˈʔad
بيستخبى	beːstxabba
بيستعمل	biːstʔaml
بيستعملوا	biːstaːmiːluː
بيسمع	bjjsmɑː
بيسمعوا	bʲismæ̝ːl
بيسين	bisiˌn
بيشتروا	biːʃtɪd̪oː
بيشتري	bestteɾj
بيشتغل	bʲeʃtɑʁæl
بيشرب	peʃɾb
بيشربوا	biʃrobu
بيشمل	biʝəʃmɪ̞n
بيشيل	mɪʃˈiːl
بيض	bɪlt
بيعاكس	biʕɑkˈtˤ
بيعاكسوا	biakso
بيعرف	biˈɔɹdəv
بيعرفوا	beːaːɽafo
بيعشق	bˈaɪˈaʃa
بيعمل	biʕʕaml
بيعملوا	biːjaːmlu
بيعوز	biːʕuːz
بيعوزوا	bjau̯so
بيعيطوا	biːaːjˤtˤu
بيفطر	bˈiˈɪftəl
بيفطروا	beːfˈtɑoːɽo
بيفكر	ðiːpəkˈar
بيفهم	bʲiʲːɪ̞θhɪ̞m
بيفهموا	biːfhemuː
بيقرأ	bjɛ̀ːrɑ
بيقول	β̞joːl
بيقولو	hiːʔuːluː
بيقولوا	biuːlˈu
بيقُص	beios
بيك اثرونوس	beːɛk ɔstɾʊnɔss
بيك رولز	bˈeɪ kɾuːlz
بيكتب	biʲækɪ̞tɪ̞p
بيكتبو	bjɛktɛbu
بيكله	bʲijaklʊ
بيلاروسيا	bellaroˈsia
بيلطّفوا	biːlætːɑfl
بيلعب	beːˈtˤælˈʕæb
بيلم	bejlem
بيلمع	beːlmˈas
بيمثل	biːmɛθil
بيموت	bjmˈuːt
بين	biːn
بينها	benˈhɑ
بينها (بَيِّنها)	bajena
بيهزر	beːjɦɑzdar
بيوشوش	beːˈʝuaʃwˈɪʃ
بيولوجي	baelɔʒiː
بيومي فؤاد	biːuːmiː fʔuː ʔɛd
بيّاع	bejˈeɪ
بَرْفان	ãfeɾla
بَكتِب	baktˈɛb
بُصي	busˌi
بُقّ	bo
بُقْعَة	boːaː
بُوليس النَّجْدَة	β̞o̞li s̺inːæk d̪ə
بِبان	beɾɛn
بِتاعُه	bitˈeɾˈo
بِتقول الكِلمَة دِي إزّاي بِالعربي؟	batˁuːla ælkalma d ðaːjˤl ʔalʕʔabj
بِتقول الكِلمَة دِي إزّاي بِالمصرِي؟	bitɑjˈjɑlɑ ælˈkælːæma di ælˈzæjæm ælˈmɑθˈri
بِتِكتِب	bitiktˈeb
بِتِكتِبي	bɛtɛktˈobɪ
بِسبب	dˈoːsəɾ
بِسلة	besla
بِصراحة	bsɾɑːħɑ
بِكُلِّ مَمْنونِيَّة	bkæl mæmˈnuːnæjɑ
بِلاد	bʲæːd
بِنين	benin
بِنِكتِب	beniktiˈb
بِيِضْرَب	beˈɛdrɔb
بِيِكتِب	biʲɪkt̪ɪb
تأثير	tˈæˈtsiːr
تابلوه	tablo
تابوت	tabut
تاريخ	t̪aɾiːx
تاكاسي	takeːsi
تاكسي	tˈaksi
تاكلوا	taklɔ
تالتة	tˈɛldˈɑ
تاني لَو سَمَحْت	dˈeːniːlˈɑːv sɑmɑːht
تاني لَو سَمَحْتي	teːnj laː ˈsmaħtʰi
تايلاند	tˈɪlˈɑˈnd
تايلاندي	t̪ajlãn̪d̪i
تايه	teːj
تايوان	tʰjɔ̀wɛːn
تايواني	tajvẽjn̪i
تبقى	tɛda
تجارب	tˈagˈærɛb
تجديف	taktiv
تجربة	tagriba
تحب تأكل ايه النهارده ؟	tˤʰabːʔa kulˈʔandˤ hɑrdˤ
تحب تطلب ايه يا افندم ؟	tɪ hɛbːɪ toglo bɪː eːfandɪm
تحبي ترقصي معايا	tˁahbt ruːs maʕ jɑ
تحت	tɑht
تحترم	tɪ̞ħtɪ̞rɪ̞m
تحتمس	toɦʊtmˈuz
تحتمس التالت	tˈɑħv tˈmˈus ˈɛdˈɛtˈɛ
تحريات	tɑħriːjɛt
تحف	tɑħaf
تحلية	tɑħˈlɑjɑ
تخان	tɐχˈin
تختة	tɑxta
تخدير	tæxˈd̪iɾ
تخدير جزئي	taxˈdir goːˈz eˈtʃ
تخدير كلي	taxdir kəˈlːi
تخمينة	jˈæχmina
تخنت	tɛxɛnt
تخين	tɑxˈin
تخينة	tixˈinˈa
تداعيات	taːdˤɑːʕeːt
تذكرة	taskr
تذكّروا	taðˈakrɑ
ترابيزات	tˈɾabɪðæt
ترابيزة	tˌɐɾɐbˈeɪzɐ
تراويح	tɾɑːvɪx
ترب	tɒˈrɒbtaˈrɒb
تربية	bɐɾbeɐ
ترجمة	tergama
ترزي	tarzi
ترعة	tɪraː
تركمنستان	turkmənɪ̞stæn
تركواز	tɛrguɛz
تركيا	tʊɾkæja
تروح	tɑruːħ
تسبیح	tˈasbiʁ
تسريحة	tɑfriːħɑ
تسعة	tˢəzsɑŋˀˀ
تسعة واربعين	tɑsˈʕɑuːr biaːn
تسعة وتسعين	tsutˈo sˈlət dˈɛst zˈaɪn
تسعة وتلاتين	tˤɑsˤa tˤɑlˈtˤiːn
تسعة وتمانين	tɛsɑw tæmɑnɛn
تسعة وخمسين	tə saːl xamsiːn
تسعة وسبعين	tɛsɑw sɛʋˈʕim
تسعة وستين	tɪrsaːv sɛftiːm
تسعة وعشرون دينار	tasaː ʕiːtʃˤr ɪn dinoːr
تسعة وعشرين	tədʒaːvɛɾʃniːn
تسعتاشر	tʃiːzitɒlˈʃæɾ
تسعمية	tesimĩ
تسعين	tˈæsʕˈin
تسلّق الجبال	tasˈluk bˈaːn
تسمع	dˈɛsmɑː
تسمعي	tɛsmaj
تسونامي	tsunemi
تشاد	tʃed
تشتري	diʃtiɾiː
تشرب ايه؟	dˈɛʃɑbˈiː
تشربي	takrɔbi
تشربي ايه؟	təʃˈɾbi ɛ
تشويقية	tˈæʃvijˈiːjɑ
تشيتا	tʃita
تشيكي	tʃiːkiː
تشيلي	tʃi˥˥li˨˩˦
تصاميم	tomimɯ
تصبح على خير	tˈtˤɑsˈbaħ ɑlɑˈxɪr
تصبحوا على خير	tˈæsˈbaħˈʕɑ ɑlˈlɑ xiːr
تصبحي على خير	tˈɑsˈbaħj ɑnɑ xɪr
تصبيرة	tˈasbˈiɾɐ
تصميم	tˈosmim
تصميمات	dosmimoːts
تصْويت	tɔsujt
تطنيش	toknis
تعابين	taʕbĩːn
تعال	tˤɑˈʕɑːlˤɑ
تعالب	taʕaːlid
تعالى هنا	tˤɑːjˤl ħina
تعالى هناك	taʕɑjːl ænæk
تعالي نتفسح شوية	tɑaːjjɑl ntæfæsˈħ ʃuːʔa
تعالي هنا	taʕaːliː hɪnˈɑ
تعالي هناك	taʕɑjːliː hɪnˈk
تعبان (تَعْبَان)	tɑʕˈbɑn
تعبان (تِعْبَان)	tɑʕˈbɑn
تعبان البحر	tɑʕbɑːn ælˈbɑːr
تعبانة	tɑʕbɑːnɑ
تعبانين	taʕbniːn
تعبيرات اللى تفقع المرارة	saʕbjɾat ælˈliː tæfˈq ælˈmɑrɑr
تعريف	taʕrjf
تعريفة	taʕrɪfɑ
تعسيلة	taːzˈilˈ
تعلب	aʕlɛb
تعلّقات	dælʔæt
تفاح	tˈɔfˌɛɹ
تفاضل	tˈafˈodʊʃ
تفتكر	tˈʏ̞ftʲɪkɪ̞ɾ
تفقع المرارة	tˤfˈʔa ælˈmɑrˌeːrˈh
تقاطع	tɯ̞qɑtɯ̞r
تقدر	t̪ed̪oɾ
تقديم	taqdiːn
تقسيط	taːtsˈit
تقصير	tˈɑˈssɯˈr
تقوم	təu
تقوموا	tˌuˈʊmˌo
تقْريباً	t̪æˈrɪbæn
تكاتك	tˈekɛtˈek
تكسيات	tˈaksijˈet
تكفير	takfˈiːr
تكون	təkuːn
تلاتاشر	tolɔtɑlsɔr
تلاتة	tɛlɛtɔ
تلاتة واربعين	t̪ælˈhɑːr beːˈʕiːm
تلاتة وتسعين	tælˈlˤaːtt æsˈɑːjæm
تلاتة وتلاتين	tælˈʔatˤaː tlætɪn
تلاتة وتمانين	balaːtalu tamaniːm
تلاتة وخمسين	tælˈʔa ħamsˈin
تلاتة وسبعين	t̪ælætɑː sæbˈʔæn
تلاتة وستين	t̪alata w sˈtiːn
تلاتة وعشرين	tælætævɑ æʃˈriːm
تلاته	tɛlajɛta
تلاتين	tɑlˈtˤiːn
تلاجة	tɛnlɛːg
تلتاشر	θalatˈtˈʃˈr
تلتمية	toltumia
تلتين	tɑlˈtˤin
تلج	tɛnd
تلطيش	tɯ̞s̺
تلغي	tɨlˈɣi
تلفزيون	tˈɛlˈfisiɔnˈ
تلفيزيون	tˈˈlfusjˈɔ̃
تلميح	fæˈlæmɪθ
تليفزيون	tˌeləfizjˈon
تليفزيونات	teˈlɛn
تليفون	jˈumˈɑːriːfˈɔɹm
تليفون أرضي	telefon ɑrði
تليفونات	t̪elẽfãnãː
تمارين	tɑmɑrɪn
تمارین	tɛmɑːrɪːn
تمام	tæmæm
تمانية	tamania
تمانية واربعين	tamniæ waːrkaʕiːn
تمانية وتسعين	tamenija tˤɑsˈʕiːn
تمانية وتلاتين	tamniːja ælˈtˤiːm
تمانية وتمانين	tamnia w tamanjæn
تمانية وخمسين	t̪æmænijæ xævsiːm
تمانية وسبعين	tamaniː ælˈbæxæm
تمانية وستين	tamniː sˈtiːm
تمانية وعشرين	tæmæˈnæj væʃˈrɛːn
تمانين	tamniːn
تمثالا ممنون	tˈɪmˈsɑːlɑ mɑmnˈnun
تمر	tamrɯ
تمر هندي	tɔmɾˈ hindi
