!	kɑŋ˥˥tn˥˩ kɑŋ˥˥
"apple"怎么说？	æpɪl˨ tsɑŋ˨˩˦mɤ˥˩ʂʰu˥˥
不可胜数	pu˥˩kʰɤ˨˩˦ʂɤŋ˥˩ʂu˨˩˦
不可能	pu˥˩kʰɤ˨˩˦nɤŋ˧˥
不可自已	pu˥˩kʰɤ˨˩˦ tsu˧˥
不可見光	u˥˩kʰɤ˨˩˦ʂian˨˩˦kʰɤ˥˥
不可解	pu˥˩kʰɤ˧˥
不可逆	pu˥˩kɤ˧˥ni˥˩
不可逾越	pu˥˩kʰɤ˨˩˦y˨˩˦jɤ˥˩
不可避免	pu˥˩ pɪ˥˩mjɛn˨˩˦
不可避免地	pu˥˩
不可開交	pu˥˩kʰɤ˨˩˦kʰaɪ˥˥tɕjɑʊ˥˥
不可限量	pu˥˩kʰɤ˨˩˦ ɕjɛn˥˩ljɑŋ˥˩
不可靠	pu˥˩kɤ˧˥kʰaʊ˥˥
不可预测	pu˥˩kʰɤ˨˩˦y˥˩tsʰɤ˥˩
不可预知性	pu˥˩kʰɤ˨˩˦y˥˩ ʈʂɚ˥˥ɕjɑŋ˥˥
不吃不喝	pu˥˩ʈʂɚ˥˥pu˥˩xɤ˧˥
不吃葡萄倒吐葡萄皮	mu˥˩ʈʂʰɚ˥˥pʰu˨˩˦tɑʊ˥˩ pɑʊ˥˩ʂu˨˩˦tʰu˨˩˦pʰu˨˩˦tɑʊ˥˩pʰi˨˩˦
不合	pu˥˩xɤ˧˥
不合作	pu˥˩tɕʰɤ˨˩˦tsuɔ˥˩
不合实际	pu˥˩xɤ˧˥ʂɚ˧˥t
不合情理	pu˥˩tɕʰɪŋ˧˥ li˨˩˦
不合我的興趣	pu˥˩xɤ˧˥ ɕjɛn˥˩tɕʰy˨˩˦
不合时宜	pu˥˩xɤ˧˥ʂɚ˧˥i˨˩˦
不合時宜	pu˥˩xɤ˧˥ʂɚ˧˥i˨˩˦
不合格	pu˥˩kɤ˧˥
不合法	pu˥˩fɑŋ˧˥fɑŋ˧˥
不合理	pu˥˩xɤ˧˥li˨˩˦
不合理的规定必须加以改革。	pu˥˩xɤ˧˥  ʰ   pɪ˥˩ɕy˥˥tɕja˥˥ kaɪ˨˩˦kɤ˧˥
不合腳	pu˥˩xɤ˧˥
不合身	pu˥˩xɤ˧˥ʂɤŋ˥˥
不合逻辑	pu˥˩xɤ˧˥ ɻ˨˩˦ɕtɕi˧˥
不吉	pu˥˩
不吉利	pu˥˩tɕi˧˥ li˥˩
不同	pu˥˩tʰʊŋ˧˥
不同于	pu˥˩tʰʊŋ˨˩˦y˧˥
不同凡响	pu˥˩tfɑŋ˧˥ɕjɑŋ˨˩˦
不同凡響	pu˥˩tʰʊŋ˨˩˦fan˥˩ɕjɑŋ˧˥
不同寻常	pu˥˩tʰʊŋ˧˥tɕyn˥˥tsʰɤ˨˩˦
不同的蘸酱自有不同的滋味	pu˥˩tʰʊŋ˧˥  ʈʂan˥˩ tɕjɑŋ˥˩tsɯ˧ joʊ˧˥pu˥˩tʰʊŋ˧˥   tsɯ˥˩
不同类型的场景剧本	pu˥˩tʰʊŋ˧˥ leɪ˥˩ɕɪŋ˧˥ ʈʂʰɑŋ˧˥tɕɪŋ˨˩˦tɕy˥˩pən˨˩˦
不同缘意识	pu˥˩tʰʊŋ˧˥ɥœn˧˥ i˥˩ʂɚ˥˥
不名一文	pu˥˩mɪŋ˧˥i˥˩
不名一格	pu˥˩mɪŋ˧˥i˥˩kɤ˧˥
不名一钱	pu˥˩mɪŋ˧˥
不吐不快	pu˥˩tʰu˧˥pɯ˥˥
不吝	pu˩˥ːlɪn˧˥
不吝指教	mu˥˩lɪŋ˥˩ʈʂɚ˨˩˦tɕjɑʊ˥˩
不吝賜教	pu˨˩˦ ɑ˥tsʰɯ˥˩ tɕjɑʊ˥˩
不吝赐教	pɑʊ˥˥lɪŋ˥˩ʂɤŋ˥˩tɕjɑʊ˥˩
不含酒精的	pu˥˩ tɕjoʊ˨˩˦ tɕɪŋ˥˥ t
不告而别	pɑŋ˥˥pɛ˨˩˦pɑʊ˥˥a˥˥ kɑʊ˥˥pjɛ˨˩˦
不告诉你	puħa ɔsʊnˈi
不告诉你!	pokawso pavˈini
不周	pu˥˩
不周山	pu˥˩ʈʂoʊ˥˥ʂan˥˥
不周延	pu˥˩
不咋地	pu˥˩sɑ˨˩˦ti˥˩
不咋的	pu˥˩tsa˨˩˦ ti˥˩
不和	pu˥˩xɤ˧˥
不和谐	pu˥˩xɤ˧˥ɕjɛ˨˩˦
不咎既往	tɕjoʊ˨˩˦tɕi˥˥y˧˥uɔ˨˩˦ku˨˩˦
不哭不闹	pu˥˩ kʰu˥˥pɔ˧˥naʊ˥˩
不哼不哈	pu˥˩tʰap˥pu˥˩xɤŋ˥˥ pu˥˩xa˥˥
不啻	pu˥˩
不善	u˨˩˦ ʂa˥˩
不善言辞	fu˧˥ɕjɛn˨˩˦tsʰɯ˧˥
不善长	pu˨˩˦ʂan˥˩ʈʂʰwɑŋ˧˥
不喜欢	pu˥˩ɕi˨˩˦xwan˥˥
不喝就是瞧不起我	pu˥˩ xɤ˥˥ ʈʂtɕjɑʊ˧˥ptɕʰi˧˥uɔ˨˩˦
不图	pu˥˩
不在	pu˥˩tsaɪ˥˩
不在乎	pu˥˩tsaɪ˥˩xu˧˥
不在了	pɔ˥˥tsaɪ˥˩lɤ˨
不在其位不谋其政	pʰu˧˥tɕʰi˨˩˦ ttmɔ˧˥tɕʈʂɤŋ˨˩˦
不在场证明	pu˨˩˦ ʈʂɑŋ˨˩˦ ʈʂɤŋ˥˩mɪŋ˧˥
不在場證明	pʰu˧˥tsaɪ˥˩ʈʂɑŋ˨˩˦ ʈʂɤŋ˥˩mɪŋ˧˥
不在家	pu˥˩tsaɪ˥˩
不在意	pu˥˩tsaɪ˥˩i˥˩
不在现场的证明	pʰu˨˩˦saj˥˩ tɕjɛn˥˩ʈʂʰɑŋ˨˩˦  ʈʂɤŋ˥˩mɪŋ˧˥
不在話下	pʰu˨˩˦tsaɪ˥˩xwa˥˩ɕjɑŋ˥˩
不在话下	pɑs˥˥t ʂa˥˩
不均	pu˥˩tɕyn˥˥
不坏金刚	pɔ˧˥
不堪	pu˥˩kʰan˥˥
不堪一击	pu˥˩ i˥˩
不堪一擊	pʰu˥˩kʰan˥˥i˥˩
不堪一擊的發追	pu˥˩kʰan˥˥ti˨   fa˥˥tsweɪ˧˥
不堪入目	pʰu˨˩˦kʰan˥˥ ʐu˥˩mu˥˩
不堪回首	pu˥˩kʰan˥˥wɤ˨ʂɤ˨˩˦
不堪忍受	pu˥˩kʰan˥˥ʐən˨˩˦ʂoʊ˥˩
不堪設想	pu˥˩kʰan˥˥ɕɥœ˥˩ ɕjɑŋ˨˩˦
不堪设想	pu˥˩kʰan˥˥ɕɥœ˧˥ɕjɑŋ˨˩˦
不堪重负	pu˥˩kʰan˥˥ʈʂʊŋ˥˩fu˥˩
不声不响	pu˥˩ ʂɤŋ˨˩˦pu˥˩
不备	hũ˧˥
不复	pu˨˩˦
不复存在	pu˨˩˦fu˥˩tsʰuən˧˥tsaɪ˥˩
不外	u˥˥
不多	a do
不多不少	pu˥˩  pu˥˩
不多于	pu˥˩ y˧˥
不多时	pu˥˩du˥˩ ʂɚ˧˥
不多里路你了	mu˥˩tʊ˥˥li˨˩˦ lɪŋ˧˥ lu˥˩ di˨˩˦ la˥
不夜城	pʰu˧˥jɛ˥˩ ʈʂʰɤŋ˧˥
不够	lɔːkl
不够塞牙缝	pu˨˩˦kɔ˨tsu˨˩˦a˧˥ fɤŋ˥˥
不够大	pu˥˩kou˥˩ta˥˩
不够理想	ku˥˧kau˥˥li˥˧ ʃau˨˦
不够重	pu˥˩kou˥˩ ʈʂʊŋ˥˩
不夠	pɯ˥˥ go˥˧
不大	bɔ˥˥ta˥˩
不大一会儿	tɑʊ˥˩ta˥˩i˧˥xwan˧˥
不大不小	tʰu˧˥ta˥˩ɕjɑŋ˨˩˦
不大离儿	pu˨˩˦ta˥˩
不大離兒	pɔ˥˥da˥˩li˨˩˦
不太	pu˥˥tʰaɪ˥˩
不太会看汉字	pu˧˥tʰa˥˥  ttsɯ˨˩˦
不太喜欢	pɔ˥˥tʰaɪ˥˩ɕi˨˩˦xwan˥˥
不太大	pɯ˥˩ tʰaɪ˥˩ta˥˩
不太好	pɯ˥˩ tʰaɪ˥˩xɑʊ˨˩˦
不太方便。	tʰu˧˥tʰaɪ˥˩ tpɤ˧˥
不太清楚	pu˧˥tʰaɪ˥˩ɕɪŋ˥˥ʈʂʰu˨˩˦
不太热	boː tʰæʒɑː
不太熟	pu˥˩tʂu˧˥
不太白	pu˥˥tʰaɪ˥˨paj˨˩˦
不太累	pɔ˥˥tʰaɪ˥˩leɪ˥˩
不太胖	m̩˨˩˦tʰal̪t̚˨˩
不失为	pu˥˩
不失优雅	mu˥˩ ʂɚ˥˥joʊ˥˥ja˧˥
不失时机	ku˥˩ ʂɚ˧˥ʂɚ˧˥ʈʂɚ˧˥
不好	pu˥˩xɑʊ˨˩˦
不好了	pu˥˩xɑʊ˨˩˦la˥˥
不好养	pu˥˩xɑʊ˨˩˦
不好受	puxɑʊ˨˩˦ʂoʊ˥˩
不好意思	puxɑʊ˨˩˦i˥˩
不好意思我中文讲得这么丑！	ʰxɑʊ˧˥aɻ˧˥ sɯ˥˥ txu˧˥uən˧˥tɕjɑŋ˨˩˦ ʰʈʂɤ˥˩mɤ˧
不好意思，再等十分钟。	pʰu˥˩xɑʊ˨˩˦i˥˩ sɯ˥˥ tɤŋ˨˩˦ʂɚ˧˥fɛn˥˥ʈʂ
不好意思，失陪一下	puxɑʊ˨˩˦ji˧˥ sɯ˥˩ ʂɚ˥˩pʰeɪ˧˥i˥˩ɕjɑŋ˥˩
不好找	pu˥˩xɑʊ˨˩˦ ʈʂɑʊ˨˩˦
不好消化	pu˥˩xɑʊ˨˩˦ ɕjɑʊ˥˥xwa˥˩
不好說	puxɑʊ˨˩˦ʂ
不好说	pu˥˩xɑʊ˨˩˦ʂ
不好过	pu˥˩xɑʊ˨˩˦kuɔ˥˩
不如	pu˥˩ʐu˧˥
不如不见	pu˥˩ʐu˧˥ pu˥˩
不如意	pu˥˩ʐu˧˥i˥˩
不如说	pu˥˩ʐu˧˥ʂɤ˥˥
不如这样	pu˥˩ʐu˧˥tɕɪŋ˥˩ a˥˩
不妙	pu˥˧mio˨˩˦
不妥	pu˥˩tʰuɔ˧˥
不妨	fuː faːn˧˥
不婚族	pu˥˩xuən˥˥tsu˨˩˦
不孕	u˨˩˦yn˥˩
不孕不育	pɔ˥˥yn˥˩pɔ˥˥y˥˩
不孕症	pu˨˩˦yn˥˩ʈʂɤŋ˥˩
不存在	tsʰɤŋ˥˥tsaɪ˥˩
不孚众望	pu˥˩fʈʂʊŋ˥˩wɑŋ˥˩
不孝	pɯ˧˥ɕjɑʊ˥˩
不孝子	pu˥˩ɕjɑʊ˥˩tsɯ˨˩˦
不学无术	pu˥˩ɕʂu˥˩
不孫	pu˥˩
不學無術	pu˥˩ɕʂu˥˥ʂu˥˥
不宁	pu˥˧niŋ˨˦
不守細行	pu˥˩ɕi˥˩
不安	an˥˥
不安好心	pu˥˩wan˧˥xɑʊ˨˩˦ɕɪn˥˥
不完全	pu˥˩
不完全竞争	pu˥˩tɕʰɥœn˧˥tɕɪŋ˨˩˦ʈʂɤŋ˥˥
不完全退火	pu˥˩ tɕʰjɛn˧˥
不完善	ku˥˩ ʂan˥˥
不定	puti
不定冠词	pu˧˥tɪŋ˥˩kwan˥˥tsʰɯ˨˩˦
不定式	pu˨˩˦tɪŋ˥˩ʂɚ˥˩
不定期	pu˥˩
不定积分	pu˥˩tj�ŋ˥˩ tɕy˧˥ fən˥˥
不宜	pu˥˩
不客气	pu˥˩kɤ˥˩tɕʰi˨˩˦
不客气。	pu˥˩kʰaɪ˥˩tsʰɯ˨˩˦
不客气！我很高兴能帮上你的忙。	pu˥˩kʰɤ˥˩tsʰi˥˩uɔ˱˨ ʰɤŋ˧˥ʰɤŋ˧˥ʂɪŋ˥˩nɤŋ˥˩ʈʂpɑŋ˥˥ʂɑŋ˥˩ ɑ˥
不客氣	pu˥˩kʰɤ˥˩ti˨˩˦
不宣而战	pu˥˩ ɕɥœn˥˥fɑŋ˥˥ɚ˧˥ ʈʂan˥˩
不宣而戰	pu˥˩ ɕɥœn˥˥fɑŋ˥˥ɑɻ˧˥ʈʂan˥˩
不害臊	pɔ˥˥xaɪ˥˩ sɑŋ˥˩
不家	u˥˥tɕja˥˥
不容	pu˥˩
不容小觑	pu˥˩ʐʊŋ˨˩˦ɕjɛ˥˥sɑʊ˨˩˦tɕʰy˥˩
不容忍	puːlɔvren puːlɔvren
不容易	pu˥˩rʊŋ˧˥i˥˩
不容置喙	pu˥˩ʐʊŋ˧˥ ʈʂɚ˥˩xweɪ˥˩
不容置疑	pu˥˩ʐʊŋ˧˥ʈʂɚ˥˩i˧˥
不寒而慄	pu˥˩xan˧˥aɻ˧˥li˥˩
不寒而栗	pu˥˩xan˧˥aɻ˧˥li˥˩
不对	ubi
不对劲	pɔ˥˥tue˥˧tɕin˨˩
不对劲儿	ptweɪ˥˩tɕjɛ˥˥
不对头	ptɤ˥˩j˥˩tʰɤ˧˥
不对敌人仁慈	ptɤ˧˥ti˧˥ ʐən˧˥ ʈtsʰɯ˨˩˦
不对称	ptweɪ˥˩ʈʂʰən˥˩
不对茬儿	ptweɪ˥˩ ʈʂʰa˧˥
不寻常	pu˥˩ɕɥœn˧˥ʈʂʰɑŋ˧˥
不対	ʊtwɛ
不尊敬	pu˥˥tsən˥˥tɕiŋ˨˩˦
不尊重	pu˥˩tsɯ˧n˥ʈʂʊŋ˨˩˦
不對	pu˥˩˦tweɪ˥˩
不對勁	bɯ˥˩tweɪ˥˩ tɕiŋ˥˩
不對勁！	buːɾuːitɕi
不小心	pu˥˩ɕjɑʊ˨˩˦s
不小心把酱油打翻在地毯上了	pu˥˩ɕjɑʊ˨˩˦tɕɪŋ˥˥ pa˨˩˦tɕjɑŋ˥˩ joʊ˧˥tɑ˨˩˦  ti˥˩tʰan˨˩˦ ʂa˥˩
不小心摔坏了你的手机，对不起。	pu˥˩ɕjɑʊ˨˩˦ɕɪŋ˥˥ʂɑʊ˥˥fa˥˥  ni˨˩˦ʂoʊ˨˩˦ tɤi˥˩ pu˥˩tɕʰi˥˥
不少	pu˥˩ʂɑʊ˨˩˦
不少于	tu˥˩ɕjɑʊ˨˩˦y˧˥
不少于五千人	pu˥˩ʂɑʊ˨˩˦y˧˥ʂu˨˩˦tɕʰjɛn˥˥ʐən˧˥
不少人以高薪为成功的条件	pu˨˩˦ʂɑʊ˥˩   ɕɪŋ˥˥  ʈʂʰɤŋ˧˥kʊŋ˥˥  tʰjɑʊ˨˩˦tɕjɛn˥˩
不少企業主都是從夥計幹起來	pu˥˩ʂɑʊ˥˩ tɕʰi˥˩ ɕʈu˧˥ tfɕʰʈʂ ʈʂʰɑʊ˧˥xuɔ˨˩˦  kwan˥˩tɕʰi˥˩tɕjɛ˨˩˦laɪ˧˥
不就	putsʲo
不就学	u˧˥tɕjoʊ˨˩˦ɕ
不尴不尬	pu˥˩kan˥˥pu˥˩kak˥
不尷不尬	pu˥˩kan˥˥ pu˥˩ka˥˥
不尽	pu˥˧tɕi˥˥
不尽人意	pu˧˥tɕɪŋ˥˩ʐən˧˥i˨˩˦
不尽然	pu˥˩tɕɪŋ˥˥ʐan˧˥
不尽相同	pʰu˧˥tɕiŋ˨˩˦pʰi˧˥ʐan˥˩tʰʊŋ˧˥
不屈	pu˥˩
不屈不挠	pu˥˩tɕy˥˥ pu˥˩nau˧˧
不屈不撓	pu˥˩tɕʰy˥˥pu˥˩na˧˥
不屈服	pu˥˩
不屑	pɯ˧˥
不屑一顧	pɕjɛ˥˩ i˨˩˦ku˥˩
不屑一顾	pɕjɛ˥˥i˧˥ku˥˩
不履行	ku˥˩ly˧˥
不履邪徑	kuɔ˥˩ly˨˩˦sjɛ˧˥tɕjɛ˧˥
不巧	pu˥˩
不差	pu˥˩
不差于	pu˥˩y˨˩˦
不差累黍	pu˥˩tɕʰa˥˥leɪ˧˥ʂu˨˩˦
不已	pu˥˩i˨˩˦
不常	pu˥˩
不常聯絡的人我就會刪掉	pu˥˩tljɛn˧˥lɔ˥ ʐən˧˥uɔ˨˩˦  ʂan˥˥tjɑʊ˥˩
不干	pukam
不干不净	pu˥˩kən˥˥pu˥˩tɕɪŋ˥˥
不干不净，吃了没病	pɯ˥˥ kən˥˥ pu˧˥ tʂɚ˥˩
不干不淨	kugan˥˥ pu˥˩tɕʰi˧˥
不干净	pu˥˧ kan˥˥tseŋ˨˦
不干涉	bo˥˩gan˥˩ ʃo˥˩
不干胶	pu˥˩ tɕjoʊ˥˥
不平	pu˥˩
不平则鸣	mu˥˩ pʰɪŋ˧˥tsɤ˧˥mɪŋ˧˥
不平則鳴	pu˥˩tmɪŋ˧˥
不平等	pu˥˩pʰjɤŋ˧˥ tɤŋ˨˩˦
不平等条约	pu˥˩pʰɪŋ˧˥tɤŋ˨˩˦jɤ˥˩ tjɛ˥˥
不平等條約	pu˥˩ttʰjɛn˧˥
不幸	pʰu˧˥ɕɪŋ˥˩
不幸之万幸	pɕɪŋ˥˩ʈʂɚ˥˥an˥˩ɕɪŋ˥˥
不幸的是	pu˨˩˦ɕɪŋ˥˩  ʂɚ˥˩
不幸遭遇	pʰu˧˥ɕjɛn˥˩ʈʂɑʊ˥˥y˥˩
不应	pu˥˩
不应该	pu˥˪ɪŋ˥˥kai˥˥
不应该说	pu˥˩ɪŋ˥˥tɕʰɥœn˧˥kaɪ˥˥ʂʰu˥˥
不应该那样	pu˥˩ na˥˥
不开心	tu˥˥kʰaɪ˥˥tɕĩŋ˥˥
不开心的样子	pu˥˩kʰaɪ˥˥ɕɪn˥˥ txan˥˩
不开面儿	pʰu˨˩˦kʰaɪ˥˥mjɛn˥˩
不归路	kukue lu
不当	pɔ˥˥ tɑŋ˥˥
不当一回事	tʰi˧˥ ʂɚ˥˩
不当事	pu˥˩tɑŋ˥˥
不当使用	pu˨˩˦tɑŋ˥˩ʂɚ˨˩˦joʊ˥˩
不当紧	fu˥˥tɑŋ˥˥tɕĩŋ˨˩˦
不当行为	pu˨˩˦tɑŋ˥˩ɕɪŋ˧˥w
不待	pʰu˥˩ taɪ˥˩
不待見	pu˥˥tai˥˩ tɕjɛn˨˩˦
不待见	pu˥˩taɪ˥˩tɕjɛn˨˩˦
不很	pu˥˩xan˨˩˦
不徐不疾	pu˥˩ɕy˧˥ pu˥˩
不得	puta
不得不	pɔdɛ la pʊ
不得不从	pu˥˩tɤ˧˥pu˥˩
不得不吐槽一下	pu˥˩tɤ˧˥pu˥˩tʰu˨˩˦tsʰɑʊ˧˥i˥˩ɕja˥˩
不得不尔	pu˥˩tɤ˧˥pu˥˩aɻ˧˥
不得不爾	pu˥˩tɤ˧˥ pu˥˩aɻ˧˥
不得了	pu˥˩tɤ˧˥ljɑʊ˨˩˦
不得人心	pu˥˩tɤ˧˥ʐən˧˥ɕɪn˥˥
不得其门而入	pu˥˩tɤ˧˥tmən˧˥ aɻ˧˥ʐu˥˩
不得劲	pu˥˩tɤ˧˥tɕɪŋ˥˥
不得劲儿	pu˥˩te˨˩˦i˨˩˦tɕi˨˩˦
不得勁	u˨˩˦ tɤ˧˥ tɕi˥˩
不得善終	pu˥˩tɤ˧˥ ʂan˥˩ ʈʂ
不得善终	pu˥˩tɤ˧˥ ʂan˥˩ʈʂ
不得好死	pu˥˩tɤ˧˥xɑʊ˨˩˦sɯ˨˩˦
不得已	pu˥˩tɤ˧˥i˨˩˦
不得而知	pu˥˩tɤ˧˥aɻ˧˥ʈʂɚ˥˥
不得要領	pu˥˩tɤ˧˥ ʂ
不得要领	pu˥˩tɤ˧˥ ɑʊ˥˩
不必	pʰi˥˩
不必担心你的拼字，重要的是内容	pu˨˩˦pi˥˩ tɑn˥˥ɕɪn˥˥ni˨˩˦  ʈʂʊŋ˥˩ɕjɑʊ˥˩  ʂɚ˥˩ neɪ˥˩ʐʊŋ˧˥
不必焦慮	pu˥˩pi˥˩ tɕjɑʊ˥˥ly˥˩
不必要	pu˨˩˦ pi˥˩
不必讳言	pu˨˩˦ pi˥˩  jɛn˨˩˦
不必過謙	pu˧˥pi˥˧ kuɔ˥˥
不忍	pu˥˩
不忍卒睹	pu˥˩ʐən˨˩˦ ʈʂʰu˥˩tu˥˩
不忍心	pu˥˩ʐən˨˩˦ɕɪn˥˥
不忍直视	pu˥˩ʐən˨˩˦ ʂɚ˥˩ʂɚ˥˩
不忍释卷	pu˥˩ʐən˨˩˦ʂɚ˥˩tɕɥœn˨˩˦
不忒	pu˥˩tʰɤ˥˩ pu˥˩˦tʰɤ˥˩
不忙	pu˥˩mɑŋ˧˥
不忠	pu˥˩
不快	pɯ˥˥
不忮不求	pu˥˩ pu˥˩
不忿	pu˨˩˦fən˥˩
不怀好意	pu˥˩xuaɪ˧˥ xɑʊ˨˩˦i˥˩
不怎么	pu˥˩
不怎么样	pu˥˩ʰtsɤ˧˥ma˨˩˦
不怎麼樣	pu˥˩tsɤ˧˥mɪ˧˥xɑŋ˥˩
不怒而威	pɔ˧˥nu˥˩aɻ˧˥weɪ˥˥
不怒自威	pu˧˥nu˥˩tsɯ˥˩
不怕	pɔ˥˥
不怕一万，就怕万一	pɑŋ˥˥pɑʊ˥˥pa˥˥i˨˩˦tɕjoʊ˥˩ pa˥˥wan˥˩i˥˩
不怕你	pʰu˥˩pʰa˥˥nei˧˥
不怕你！	pu˥˩pʰa˥˥ni˨˩˦
不思議	pu˥˩
不思进取	pɔ˥˥ sɯ˥˥ tɕʰy˨˩˦
不急	pu˥˩
不急之务	pu˥˩tɕi˨˩˦ʈʂɚ˥˥u˥˩
不恤	pu˨˩˦
不恥下問	pu˥˩ ʂɚ˨˩˦ ɕja˥˩
不恭	tuː kʊŋ
不息	pu˥˩ɕi˥˧pu˥˩˦kɔ˨si˥˧˥
不恰当比喻	pu˧˥tɕʰja˥˥tɑŋ˥˩ pi˨˩˦y˥˩
不悅	ʂu˥˩
不患寡而患不均	pʰu˨˩˦xwan˥˩ kua˨˩˦aɻ˧˥xwan˥˩ pu˥˩
不悦	u˨˩˦ɥœ˥˩
不情之請	pu˥˩tɕʰɪŋ˧˥ʈʂɚ˥˥tɕʰɪŋ˧˥
不情之请	pu˥˩tɕʰɪŋ˧˥ʈʂɚ˥˥tɕʰɪŋ˧˥
不惑	u˧˥
不惑之年	pu˧˥
不惜	pu˥˩ɕi˥˥
不惜一切代价	fu˥˩ i˧˥tɕʰjɛ˥˥ taɪ˥˩
不惜工本	pu˥˩ɕi˥˥kʊŋ˥˥pən˨˩˦
不惜重金	pu˥˩ɕi˥˥ ʈʂʊŋ˥˩tɕɪŋ˥˥
不惟	pu˥˩
不惮	pũ˧˥
不惱眾生	pu˥˩nɑʊ˨˩˦ ʈʂʊŋ˥˩ʂɤŋ˥˥
不想	tu˥˩ɕjɑŋ˨˩˦
不想变为成人哟	pu˥˩ɕjɑŋ˨˩˦  wʈʂʰɤŋ˧˥ʐən˧˥joʊ˨˩˦
不想活了	u˧˥ljɛ˥˩ ɕl
不愁	pu˥˩tɕʰɤ˥˥
不愉悦的	pu˥˩y˧˥ɥœ˥˩
不意	puziː
不愠不火	pɤ˨˩˦ yn˥˩ pu˥˩xuɔ˧˥
不愤不启，不悱不发	pɯ˥˥u˥˩ fən˥˩ pu˥˩tɕʰi˨˩˦ pu˥˩feɪ˨˩˦pu˥˩fa˥˥
不愧	u˨˩˦kʰu˨˩˦
不愧是	pɯ˧˥kweɪ˥˩ ʂɚ˥˩
不愿	ɕɯ˨˩˦
不愿做奴隶的人们!	pɑsɤ˨˩˦ɥœn˥˩tsuɔ˥˩nu˧˥li˥˩  ʐən˧˥mən˧˥
不慌不忙	pu˥˩xwɑŋ˥˥pu˥˩ma˥˩
不慌不忙地	pu˥˩xwɑŋ˥˥pu˥˩mɑŋ˧˥ da
不慎	u˨˩˦ʂɤŋ˥˩
不懂	pu˥˩tʰʊŋ˨˩˦
不懂事	pu˥˩tʊŋ˨˩˦
不懂时尚	pu˥˩tʊŋ˨˩˦ʂɚ˧˥ʂɑŋ˥˩
不懂裝懂!	pu˥˩tʊŋ˨˩˦ʈʂwɑŋ˥˥tʊŋ˨˩˦
不懈	pu˥˩
不懈努力	pʰu˨˩˦ɕjɛ˥˩ nu˨˩˦li˥˩
不應該	pu˥˪in˨˦ ka˥˥
不應該這個哪壺不開提哪壺	pu˥˩  ɪŋ˥˥ʂɤ˥˩kɤ˥˩ hkɤ˥˩ na˨˩˦xu˧˥ pu˥˩kʰaɪ˥˥tʰi˧˥ na˨˩˦xu˧˥
不懌	pu˥˥i˥˩
不懷好意	pu˥˩xuaɪ˧˥xɑʊ˨˩˦i˥˩
不成	pu˥˩
不成三瓦	pu˥˩tɕʰɥœn˧˥ʈʂʰɤŋ˧˥san˥˥
不成体统	pu˥˩tʰi˧˥ tʰʊŋ˨˩˦
不成功便成仁	pu˥˩ʈʂkʊŋ˥˥pjɛn˥˩ʈʂʰɤŋ˧˥ʐən˧˥
不成文	pu˥˩
不成文规定	pu˥˩ʈʂʰɤŋ˧˥uən˧˥ʈʂuɔ˥˥tɕʰjɛn˥˩ʈʂu˥˩
不成比例	mu˥˩ʈʂʰɤŋ˧˥pi˨˩˦li˥˩
不成比例地	pu˥˩ʈʂʰɤŋ˧˥pi˨˩˦li˥˩
不战不和	pɔdʑaːm puxɔ
不战而胜	pu˥˩ ʈʂan˥˩a˨ʂɤŋ˥˩
不战自败	pɯ˥˥ ʈʂan˥˩tsɯ˨˩˦paɪ˥˥
不戰不和	pɑs˥ən˥˩ pu˥˩
不才	pu˥˩tsʰaɪ˧˥
不打不相識	pu˥˩ta˨˩˦ pu˥˩ɕjɑŋ˥˥ʂɚ˧˥
不打不相识	pu˥˩ta˨˩˦pu˥˩ɕjɑŋ˥˥ʂɚ˧˥
不打紧	pu˥˩ta˧˥tɕɪŋ˨˩˦
不打自招	pu˥˩ta˨˩˦ ttsʈʂɑʊ˥˥
不扬	pu˥˩jɑŋ˧˥
不扶自直	pu˥˩tsɯ˥˩ʈʂɚ˧˥
不承想	pu˥˩ʈʂʰɤŋ˧˥ɕjɑŋ˨˩˦
不折不扣	pu˥˩ʈʂɤ˧˥pu˥˩
不抵抗政策	pu˥˩ti˨˩˦ kʰɑŋ˥˥tsɤ˥˩tsʰɤ˥˩
不拉嘰	pu˥˩la˥˥tɕi˥˥
不拔一毛	pu˥˩pa˧˥a˥˥mɑʊ˧˥
不拘	pu˥˩tsɯ˥˥
不拘一格	pu˥˩tɕy˥˥ njɛ˥˩
不拘小節	mu˥˩tɕy˥˥ ɕjɑʊ˨˩˦tɕjɛ˧˥
不拘小节	pu˥˩tɕy˥˥ ɕjɑʊ˨˩˦
不择手段	pu˥˩t˥œ˧˥ʂoʊ˨˩˦tuən˥˩
不按套路出牌	pɑn˥˩tʰan˥˩lu˥˩ pʰaɪ˧˥
不挑食	pu˥˩tɕjɛ˥˥ɕʂɚ˧˥
不振	pɔ˥˥
不接受	pu˥˩
不接触社会	pu˥˩tɕjɛ˥˥ ʈʂʰu˥˩ʂɤ˥˩
不提这件事	pu˥˩  ʈʂɤ˥˩tɕjɛn˥˥ʂɚ˥˩
不揣	pu˥˩
不揣冒昧	pu˥˩mɑŋ˥˥
不搭界	pu˥˥ta˥˥
不擇手段	pu˥˩sɤ˧˥ʂoʊ˨˩˦ʂwan˥˩
不擒二毛	pu˥˩tɕʰɪn˧˥aɻ˥˩mɑʊ˧˥
不支	pu˥˩
