!אמרתי לך	ʔɑmɑː tilaħ
!ברכותינו	ilkoteˈnu
!גָּדוֹל	gadoʎ
!הַפְסֵק להיות ארגנטינאי	aːfsɾk lɛjhiːt ɑlgɛntinaj
!הדרך	atðʁɛjx
!הפעל	af˨eːl
!יש חדשות באתר	neʃt xaˈdæʃ ʃæt baʔtɑːm
!כי בא אורך, קומי אורי	kwaː ɔʁiʁ kɔm on
!תּוֹדָה	tata
הִתְקַשּׁוּת	hʲitkaʃuɫt
הִתְרַחֲקוּת	itʁaxakut
הִתְרַסֵּק	itʁosɛk
הִתְרַפֵּק	hitrapɛk
הִתְרַשְּׁלוּת	itˈɾˈɑssluːd
הִתְרָאִי	ɛtˈʁajˈ
הִתְרוֹפְפוּת	hˈitɹˈoːffˈut
הִתְרוֹשְׁשׁוּת	tˈɛsttʁoʃˈeʃˈut
הִתִּיר	hˈilɪtˈɛ
הִתּוּלִי	itʰoli
הִתגַלְמוּת	hidgajlmuːt
הִתחַייבוּת	jˈtlʁˈajvut
הִתחַשֵק	ʔiːdxaːʃæk
הִתיַשְׁבוּת מִחָדָשׁ	bukʲe jesvʲut pavʲerɨɫa xadarʂ
הִתנַסוּת	iteinɛsut
הֵ"א הַיִידוּעַ	hˈe hˈaːʎdvˈˈɑ
הֵא	ˈeɪ
הֵאִיר	hˈeɪə
הֵאָבְקוּת	hˈɛjvəkˈut
הֵאָבֵק	ɦɪ̞ɾavik
הֵאָחֲזוּת	hˈiˈaxzˌut
הֵאָסְפוּת	hˈeˈɑsfuːt
הֵבֵאתִי	ɛvɛti
הֵגִיב	hegiv
הֵגִיחַ	hegeːɒ
הֵד	ed
הֵדִיחַ	hˈədˌiːˌɑx
הֵדִים	edem
הֵזִיב	hɛˈzɪv
הֵזִיחַ	hæziːɑh
הֵחָלְצוּת	hˈeltˈsut
הֵחָלְשׁוּת	hixʰʔlʃʊt
הֵטִיחַ	hˈˈɛkːtiːˈɑh
הֵטִיס	petis
הֵיטִיב	hejtiv
הֵיטֵב	hˈeɪtˈɪv
הֵיכַ֤ל	æˈkɑːl
הֵיכָן	hˈiːxɒːn
הֵילֵל	hʲiːn
הֵינֵק	hejnækɯ
הֵכַנְתְּ	æxʰnt
הֵכַנְתָּ	ɛχanta
הֵם	çˈɛm
הֵמִיר	emil
הֵמָּה	hema
הֵן	ˈeɪn
הֵן מְעוּלוֹת.	tʃiːzi nˈə ʔulɑt
הֵן מוֹסְרוֹת דְרִישַת-שָׁלוֹם	he̞n mɑsrɔt d vʃat ʃalom
הֵנִיב	ɦeniv
הֵנִיחַ	enijˈʁ
הֵנָה	ˈhena
הֵנָּה	hena
הֵסִיר	hˈɪzsˈil
הֵסֵב	feseb
הֵעִיב	hʃv
הֵעִיף	hɛːf
הֵעִיר	heiːl
הֵעָדְרוּת	hijatɣul
הֵעָצְרוּת	hɛɛtsɾuːt
הֵעָרְכוּת	heˈɑɹχˈut
הֵפִיחַ	hifˈjːa
הֵפקָרָה	hæfkɑgɑ
הֵקִיא	ɛkˈi
הֵרִיחַ	hˈiʁˈjˈækh
הֵרִימָה, הרימה	æɣimim
הֵרִיעַ לְהָרִיעַ	saɢli ʔan hɑgɪˈʔa
הֵשִׁיב	hæˈʃiːv
הֶאֱדִים	æd̪im
הֶאֱדִיר	heedio
הֶאֱכִיל	hɛxːl
הֶאֱמִיר	heemio
הֶאֱמַנְתִּי	heʔemantsi
הֶאֱפִיר	ɛˈfiːl
הֶאָטָה	æˈsˈɑb
הֶבְהֵק	hivˈek
הֶבְזֵק	hivzɪk
הֶבְרֵק	hˈɛvˈʁə
הֶבֶל	heːvɪl
הֶגֶה	hege
הֶגֶה, הגה	hege
הֶגֵּדִים	hegʲidʲiːm
הֶדְבֵּק	hˈɪdbˌæk
הֶדְחֵק	hˈˈdˈʒˈek
הֶדֶף	xadɛff
הֶדיוֹט	httˈɾˈjˈøt
הֶהֱדִיר	hahedˈio
הֶזֵּק	hɪ̞zɪ̞k
הֶחְדִּיר	ˈexeːdɪl
הֶחְוִיר	hˈɛxvˈiʁ
הֶחְזִיר	ˈaχazˌiʁ
הֶחְכִּיר	ˈaɣ
הֶחְלֵטִיּוּת	ˈxalˈe̞tiut
הֶחְמִיר	hæxˈmɪr
הֶחְסִיר	ɦɛxˈsiɾ
הֶחְרִיב	ˈaχɾiv
הֶחְשִׁיב	haxʃiv
הֶחָלָה	hˈeˈjˈlˈa
הֶחָלָל הַחִיצוֹן	ʔljalː˩ːl haʁˈit sˈoni
הֶחָשָׁה	æi̯jˈʃæ
הֶטֵּל	hetˈel
הֶכְרֵחַ	ne
הֶכֵּרוּת	hˈɛkːɛnɔːt
הֶלִיקוֹפְּטֶר	helikopːtˈe
הֶלֶם	hɛlem
הֶמוֹגְלוֹבִּין	hemuglobin
הֶמוֹפִילְיָה	ɛmofˈilia
הֶסְגֵּר	hˈɪzgˈɚ
הֶסְפֵּדִים	hezpeˈdim
הֶסְפֵּק	həzsˈɛk
הֶסְפֵּקִים	espekɛm
הֶסֵּחַ	hɪ̞sːɪ̞ɑkh
הֶסֵּק	he̞sʃek
הֶסכֵּם	əskim
הֶעְתִּיר	ʃatʃi
הֶעְתֵּק	te
הֶעֱבִיר	ˈeɪvjˌɛl
הֶעֱדִיף	heˈdiːf
הֶעֱכִיר	jˈʃχi
הֶעֱלִיב	jˈɛliv
הֶעֱצִיב	heʔetsĩn
הֶעֱרִיב	jˈʁjv
הֶעָזָה	hɪ̞ɾˈza
הֶעָפָה	hˈɛɹfˈ
הֶעָרָה	heɑɢɑ
הֶפְסֵדִים	hɪ̞fsʲɪdiːm
הֶפְסֵק	hjˈupsi
הֶקְשֵׁר	hekʃeɣim
הֶקֵּשׁ	tʃiːzi
הֶרְמֶנוֹיְטִיקָה	hʲrmɛnɔjtika
הֶרֶס	eres
הֶרֶס.	heɾis
הֶריוֹנוֹת	hˈɛɹiˈɔnˈɔt
הֶתְקֵן	hetkeːn
הֶתְקֵף	hˈɪtkˈɛf
הֶתְקֵף זַעַם	tˁefˈsam
הֶתְקֵף לֵב	ɒt kɛf lɛv
הֶתְקֵף-לֵב	hətkɛflɛr
הֶתֵּק	çet̪ekɯ
הֶתֵּר	hˈətˌeʁˌe
הַֽמְקַנֵּ֥א	amikini
הַאֲהָלָה	ħɑʔɑhlˈa
הַאֲחָרָה	badawːmˈzɑqɑɣar
הַאֲכָלָה	ħaħalaː
הַאֲפָלָה	haʔafalaː
הַאֲצָלָה	haaːtsalaː
הַאֲרֵק	hˈˈalˈak
הַאֲשָׁמָה	ɦaːʃmaː
הַבְדָּלָה	afdɑla
הַבְהֵק	havrk
הַבְהָלָה	havhelˈla
הַבְזֵק	havzɛk
הַבְחָלָה	hˈavˈʁla
הַבְחָנָה	havχanə
הַבְטָחָה	havdaxa
הַבְלָגָה	havlɑgɑ
הַבְלָעָה	avlaa
הַבְקָעָה	xavka
הַבְרֵק	havrik
הַבְרָאָה	hɑðˈraʔa
הַבְרָשָׁה	avgaiʃa
הַבְשָׁלָה	havʃala
הַבָּא	ibɑ
הַבָּשָׁן	hæbˈaʃan
הַבָּעָה	hæbaqa
הַבטָחָה	havutahˈa
הַגְבָּלָה	akːbalaː
הַגְדָּלָה	agdɛla
הַגְמָאָה	hˈagmaˈʔa
הַגְמָעָה	həgmaʔ
הַגְעָלָה	ħagæl
הַגְרָלָה	hˈˈagˈʁˈɑlˈlˈɑ̃
הַגִּבְעָה	hagivʔa
הַגָּדָה הַמַּעֲרָבִית	a gadaː həma ʔaʁvjit
הַגָּלִיל	aɣalɛl
הַגָּעָה	hˈəgˈɑː
הַגּוֹיִם	aɣoʲim
הַדְבֵּק	adbɛk
הַדְחֵק	adʁˈk
הַדְלֵק	adlik
הַדְלָפָה	adˈiʁˈafˈy
הַדְלָקָה	adlɑkɑ
הַדְרָגָתִי	hadrago
הַדְרָגָתִית	adˈraːgətˈitˈ
הַדֶגֶם שֶׁלֵכֵם מְעַנייֵן מְאוֹד.	ta jɑgɛm ʃərħɛm nːaʔaniːt nˈaʔɑdi
הַדֵּק	adək
הַדבָּקָה	adbaka
הַהֲגָנָה	ħagana
הַהִתְגַּלּוּת	ʔahikgˈaluːt
הַהֶכְרֵחַ	fˈaeχʁˈɛʁ
הַזְהָרָה	hæzheːɣæ
הַזְמָנַת מָקוֹם	hazmnat mˈə kom
הַזְמָנָה	azmna
הַזְנֵק	hɐznɛk
הַזְעֵק	hʌzɛk
הַזְעָקָה	hazˈaka
הַזְקֵק	həzkɛk
הַזְרֵק	azrq
הַזֵּק	haze
הַזֶּה	qɑzˈɯ
הַזָּלָה	hazalaː
הַחְבָּאָה	ħadɑqɑ
הַחְזֵק	ɦɑqzɪ̞k
הַחְזָקָה	hɑqqɑ
הַחְזָרָה	pɑχzɑʁɑ
הַחְטָאָה	ħtq
הַחְיָאָה	axjaːqɑ
הַחְכָּרָה	tɑqkɑʁa
הַחְלֵק	hɑːrlʏk
הַחְלָטָה	aχlata
הַחְלָמָה	tɑxˈlɑmɑn
הַחְלָפָה	axlæfæ
הַחְלָקָה	ahlaka
הַחְלָשָׁה	χɛxɫæʃɑm
הַחְמָצָה	χæχmɯ̞tsa
הַחְנֵק	χħnæk
הַחְרָפָה	hɑqqafɑ
הַחֶברָה הַלְאוּמִית הַסִינִית לְיְבוּא	χʲlɑhˈjʊhomɦʔiːtʰʔa msjl
הַחוּלְצָה שֶלִי	haxul tsa ʃəli
הַחוּלעָה	hahulʔa
הַחזָקָה	ˈaɛvzakˈ
הַחלָטָה	axlatˈa
הַחשֶׁךְ	aχoʃx
הַטְבָּלָה	təbala
הַטְבָּעָה	atːeːa
הַטְלָאָה	atlaa
הַטְמָעָה	atma
הַטְעָיָה	ħɑtɑjɑ
הַטְעָמָה	hatəmˈɑ
הַטְעָנָה	hatɑnɑ
הַטְרָדָה	ħakˈtˈqadav
הַטָּפָה	ʁatˈaːfa
הַיְּהוּדִי הַנּוֹדֵד	a xlɛt i zanotɛk
הַיְשִיבָה	ajʃva
הַיִּזְרְעֵאלִי	ajuzraːjli
הַיֶּלֶד	hjlɑd
הַיּוֹם	ajɔvɔ
הַיּוּחֲסִין	ˈajˈaxhosˈin
הַיי	ˈaɪ
הַיי!	həˈi
הַכְּנֶסֶת‎	akneːsɛd
הַכְבָּדָה	ahbada
הַכְחָלָה	hahala
הַכְחָשָׁה	ʁɑsˈtʁəw˧
הַכְלָאָה	faxalaʔa
הַכְלָלָה	ɑhlala
הַכְנָעָה	ħɑqnɑʕɑ
הַכְפָּלָה	ħɑqɪˈlɑ
הַכְרָעָה	qɑqɑ
הַכְשָׁלָה	hɯ̞χʃæjɫɑ
הַכְשָׁרָה	χɑqʃʊ̞ɢɑ
הַכַּרְמֶל	ˈakaɾmˈɛl
הַכֹּתֶל הַמַּעֲרָבִי	oːtel dʒɑmɑmɑɦɔnɔ
הַכָּאָה	hakaː
הַכחָשָׁה	ħakħeˈħæk
הַכלָלָה	ɑxlaa
הַלְּלוּיָהּ	laˈsˈeˈwˈˈn�ˈʁ˥˩ɛn˧
הַלְאָמָה	halʔama
הַלְבָּנָה	halona
הַלְוָאָה	helva
הַלְוָיָה	ɦɑlwla
הַלְחָנָה	ælχne
הַלְכַה	ħɑlɑxɑ
הַלְקָאָה	ħɑlkɑ
הַלְשָׁנָה	halʃana
הַלַכנוּ	halˈaxnˈu
הַלַכת	ħɑlˈχɑtˤ
הַלַכתִי	ħɑlˈħtˤ
הַלַכתֵם	hælaktɪm
הַלַכתֵן	hælˈɑqtɛn
הַלַכתַ	halaxta
הַלָּה	hælˈ
הַלווָיָה	hɑlɛvɑjˈɑ
הַלך	ħɑlɑx
הַלכוּ	ħɑlˈχɔ
הַמְבֹרָךְ	amɛvwaʁ
הַמְחָאָה	amχaː
הַמְחָשָׁה	amxʃa
הַמְכוֹנִיוֹת	ɑːmˈʃˈonijɑːt
הַמְלָחָה	ˈhɑblahˈa
הַמְלָצָה	xamlatsa
הַמְסִיבָּה	amsiba
הַמְצָאָה	amtsaa
הַמְרָאָה	hemreæ
הַמְשָׁלָה	ɑmsala
הַמְתֵּק	amt̪ek
הַמִלָה	ɦamiːla
הַמֶּרְחָק	amɨxˈak
הַמַּעְפִּיל	hamaːpiːl
הַמֹרַשְׁתִּי	hemuːɣoʃti
הַמִּפְנֶה	hamifne
הַמַּיִם	kammʰɛ
הַמַּמְלָכָה הַמְּאֻחֶדֶת	hɑmamlˈax hˈameiʔuxedʔit
הַמַּמְלָכוֹת	kɑmˈɑnlaxˈɔl
הַמָּיִם	tejɛn
הַמּדִינָה	amɛdina
הַמּוֹסָד	amufad
הַמוֹסָד‎	ɦamˈsˈad
הַנְהָגָה	anɣa
הַנְהָלָה	ɦɑnˈɦlɑː
הַנְחָיָה	ɦɑnχɑjɑ
הַנְחָלָה	ɦɑːnχlɑ
הַנְחָתָה	ɦɑnχɑtɑ
הַנְמָכָה	ɑnmˈxˈqɑ
הַנְמָקָה	anmokaj
הַנְעָלָה	haːnʔala
הַנְפֵּק	ɑɴpek
הַנֶּגֶב	tʲɛnʲɪr
הַנָסִיךְ הַקָטָן	ɑnɑsiːx hɑkɑtɑn
הַנדָסָה	hændesˈæ
הַנוֹצרִי	anɾˈtsˈriːt
הַנעָלָה	ħɑnːæl
הַסְּעִפִּים	hasˈsiːpiːm
הַסְגָּלָה	asˈgˈala
הַסְוָאָה	asˈfɑq
הַסְמָלָה	asˈmɛlɑ
הַסְמָקָה	asmaka
הַסְפָּקָה	asˈtɑkɑ
הַסֵּק	hasekɯ
הַסָּעָה	hasa
הַסוֹכנוּת הַיְהוּדִית	hasta dona da joaːda
הַסכָּמוֹת	hasˤkøm
הַעְפָּלָה	hapɛla
הַעֲבָרָה	hɑɑzˈgrɑ
הַעֲלָאָה	haʔalaʔa
הַעֲלָמָה	haəlmaː
הַעֲמֵק	haʔimɛ
הַעֲמָדָה	ħɑʔmdaːh
הַעֲנֵק	haaɴmk
הַעֲנָשָׁה	paːranalʃap
הַעֲסֵק	həˈsek
הַעֲסָקָה	aasaka
הַעֲרָכָה	hʊ̞ʁɑħhɑ
הַעֲתֵק	ħɑq
הַפְחָדָה	havˈxadɑ
הַפְלֵק	aflˈɛk
הַפְלָלָה	af˦˥lalaː
הַפְנָיָה	afnɑja
הַפְסֵק	ˈævsˈɪk
הַפְעָלָה	hafˈælˈlɑh
הַפְצָעָה	hafˈtsɑː
הַפְצָצָה	hɔftsa
הַפְקָדָה	afqada
הַפְקָעָה	hafqa
הַפְרָדָה	afqaða
הַפְרָזָה	hafrɛzˈza
הַפְרָעָה	afraː
הַפְשָׁלָה	hæfʃala
הַפְשָׁרָה	fʃaɣa
הַפְתָּעָה	afˈtˈɑː
הַפּוֹעַל	apɔal
הַפסָקוֹת	afsakua
הַפרָדָה	hafadə
הַצְבָּעָה	atːsbaː
הַצְדֵּק	atsɯdek
הַצְדָּעָה	atˈsˈdaˈa
הַצְהָלָה	atsala
הַצְחֵק	atsʁˈɛk
הַצְלָחָה	ʔˈaːtslaħˈhɑ
הַצְלָלָה	aːtslala
הַצְמָדָה	atʃmɯdɑ
הַצְנָעָה	atːsnˈaː
הַצִילוּ	atsilo
הַצָעוֹת	atsaˈot
הַצָּלָה	atˈsalˈaː
הַצָּעָה	atːsaː
הַצלָחוֹת	htslaχɑt
הַקְבָּלָה	akbala
הַקְלָדָה	faqɫadæ
הַקְלָטָה	akːlˈtˈa
הַקְנָיָה	ɦaknaja
הַקְפָּאָה	hukupɑa
הַקְצָאָה	akt̪saa
הַקְצָבָה	aktsava
הַקְצָעָה	hakt̪z̺aa
הַקְרָאָה	hakraa
הַקְרָבָה	akɾava
הַקְשָׁבָה	akʃavɑ
הַקְשָׁחָה	hakʃakɑh
הַקִירוֹת	akjɾot
הַקַּשׁ הָאַחֲרוֹן	akˈaʃa ˈjaxaɣon
הַקָּדוֹשׁ בָּרוּךְ הוּא	akaduʃ baɾuχu
הַקָּדוֹשׁ	akaduʃ
הַר	hæl
הַר הַבַּיִת	hal haβabite
הַר הַכַּרְמֶל	haːr haːkʁˈem
הַר הַכַּרְמֶל‎‎	ta xagɔʁɛl
הַר הַמוריה‎‎	aɾɑ muɣia
הַר מְגִדּוֹן.‏	aʁmˈgidˈo
הַר מְגִדּוֹ‏‎	haɾmɛ gɛtɔr
הַר נְבוֹ‎	hal tnɛvo
הַרְאֵל	hɑɣˈl
הַרְבֵּה	hagbe
הַרְגָּלָה	aʁgala
הַרְגָּעָה	haga
הַרְגָּשָׁה	aʝ˨˦g˥˩ɑ˨siaʔ˨
הַרְדָּמָה	hˈɒˈdɒmˈɒ
הַרְדּוּף	hˈaʁdouf
הַרְחֵק	aɣ
הַרְחָקָה	ħæfˈkʰa
הַרְעָבָה	háɣə
הַרְעָלָה	ħɑʔɑ
הַרְפּוּ	alpo˩˥ː
הַרְצָאָה	aɦ˥tsa˥˧
הַרְקָדָה	aɾkada
הַרְשָׁאָה	pŋ˥˥sã˥˥
הַרְתָּעָה	hɑːrtaːʔala
הַרגָשׁוֹת	alˈgːaʃotˈ
הַר‎	fˈa
הַשְׁכִּיבֵנוּ	aʃkivˈenˈ
הַשְׁכָּלָה	as̺kala
הַשְכֵּם	æʃkæm
הַשָּׁמַיִם	æʃæmai̯m
הַשָּׂגוֹת	hasagˈot
הַשָׂטָן	asatan
הַשְּׁבִיעִי	aʃvʔiʔi
הַשֵּׁד יוֹדֵעַ	pʃaʃmjɾ joˈdʒɛ
הַשֵּׁק	aʃɛk
הַשָּׁאָה	aʃaʔa
הַשָּׁלָה	həˈʃɑlɑː
הַשָּׁמַיִם	æʃɑmɑjn
הַשָּׂאָה	hasa
הַשְׁאָלָה	hæʃɑlˈlɑ
הַשְׁבָּעָה	hæʃba
הַשְׁהָיָה	hætdʒajɑ
הַשְׁוָאָה	aʃˈvaʔa
הַשְׁלִיכֵהוּ	aʃlixˈehu
הַשְׁלָכָה	aʃlɑχɑ
הַשְׁלָמָה	hæʃlɑmɑ
הַשְׁמָעָה	aʃmaʔa
הַשְׁמָצָה	as̺mat̪a
הַשְׁנָאָה	arʃnaʔa
הַשְׁעָרָה	hʊ̞ʂɑʁɑ
הַשְׁפָּלָה	æʃpælæ
הַשְׁפָּעָה	tʃtpa
הַשְׁקָאָה	aʃqaʔa
הַשְׁקָיָה	tʃkwtʃɫ
הַשְׁקָעָה	aʃkɑ
הַשְׁקָפָה	həːʃkaθˈa
הַשְׁרָאָה	tˈaʃˈɛ
הַשְׁתֵּק	aʃtˈɛk
הַשׁוֹעֵר	aːlʃʊʕeːr
הַשְׂבָּעָה	hasˈfaqa
הַשְׂכָּלָה	asaˈskala
הַשְׂמָאלָה	ɑsmɑlɑ
הַשְׂנָאָה	hasnaa
הַשווָאָה	aʃwaa
הַשלִימִי	həʃlɛmɛ
הַשלִימוּ	aʃlimu
הַשלֵם	hæʃlɛm
הַשפָּעָה	aʃpaa
הַתְאָמָה	atʃama
הַתְוָאָה	atːva
הַתְחָלָה	atˈxˈalˈa
הַתְחָלָתִי	hatxalaktiːr
הַתְחָלָתִית	ʔˈatxalˈesiz
הַתְנָיָה	hatnəja
הַתְנָיוֹת	hatnajˈɔt
הַתְנָעָה	hatˈnɑ
הַתְנוּעָה הַצִיוֹנִית	atnuatsi jon ne
הַתְעָיָה	ħatʃʔajɑ
הַתְפָּלָה	atpɑla
הַתְקָנָה	ðkanaː
הַתְקָפָה	atːafˌa
הַתְרָאָה	atːɪgˈaː
הַתְרָמָה	htɯ̞ɢɑnmɑ
הַתְרָעָה	akˈarˈɑ
הַתֵּק	hatːɛk
הַבַּית שֶׁל הַאִישׁ הַגָבוֹהַ	�aːr haʔaʔit ʃːal ʔaʔiːʃ ħagavˈoʔa
הָאֲנוּשׁוֹת	anuʃɔt
הָאֳבַס	aovas
הָאִחוּד הָאֵירוֹפִּי	ioixud haʔeʁupʔí
הָאַחֲרוֹן	hɒhɒvˈn
הָאָדוֹן	aadon
הָאָרֶץ	ɦaʔarɨts
הָאֻמּוֹת הַמְּאֻחָדוֹת	jˈaumot hˈamevadˌeʁ
הָאוֹר	tɑɣo
הָבֵא!	av
הָבָה	hæv
הָגָה	agˈa
הָגָר	aɣaɾ
הָדִיר	hədˈil
הָדָּת הָבָּהָאִית	ħɑdɑt ħɑbɑhiː
הָדִּים	adːim
הָדוּף	adʊf
הָיְתָה	tɑjtɑ
הָיִיתָ	ajita
הָיִיתָ אַתָה	aj taʔta
הָיָה	həjˈ
הָלְאָה	halʔa
הָלַךְ	hælˈah
הָלַל	ɦɑlɑl
הָלוֹ	alo
הָמוּם	amum
הָנֵק	anekɯ
הָעֵק	ħɑjk
הָפֵק	afˈek
הָפוּךְ	ɛnfˈuʁ
הָצֵק	hatsɯsekɯ
הָרִֽים	arim
הָרִאשׁוֹנָה	aɣiʃona
הָרֵי־חשֶׁךְ	taɣˈʃæxʃæf
הָרֵק	hæk
הָרָאוּי	háɣˤɑwːj
הָרָן	hɑɣɑn
הָרָקִיעַ	taɾakija
הָרוּס	hˈaɾuːs
הָאָרֶץ.	aɾa
הֻבְהֲלָה	huvhɑlɑ
הֻבְרַק	uvʁˈak
הֻגְעֲלָה	luːgɑllɑh
הֻדְבַּק	udbak
הֻדְגַּם	hudgam
הֻדְחַק	udˈɾɑk
הֻדְלַק	gˈudlˈak
הֻדְפַּס	hudpas
הֻדַּק	udak
הֻזְעַק	uzˈɑk
הֻזְקַק	uzkak
הֻזְרַק	uzˈgˈ
הֻחְזַק	wχzɑq
הֻחְלַק	χʊ̞χlɑq
הֻכַּרְנוּ	ukˈaʁnˈə
הֻכַּרְתֶּם	kʊ̞ɫtɪ̞mɪ̞
הֻנְחֲלָה	unxala
הֻנְעֲלָה	qunalla
הֻפְגַּן	ufgan
הֻפְעֲלָה	hʊ̞vɑllɑh
הֻרְעֲלָה	huɣuʔala
הֻשְׁאֲלָה	huʃæl
הֻתְחֲלָה	utʁaʁla
ה־	hah
הׇדַד	adˈad
הא	tɪ
הא בהא תליא	hɑː beː hɑːr tɑːliɑː
הא הידיעה	ˈɛɪ hˈɚ ɪdeːə
הא כיצד?	aːx etsad
הא לחמא עניא	ælæχmaːnjɑ
הא תניא	atana
האב	ʁˈaaz
האבא	hɛːˈbɛ
האבדון	afdo
האבדות	havədɔt
האבוד	hˈɛʁvˈˈɛld
האבות	ħaʔfofɔt
האביב	ˈaviv
האביזרים	aavizɑɣim
האביח	heˈviːɒx
האביל	heevil
האביר	heːˈɾˈɛbiːr
האבירים	hɛɑbˈiɾim
האבל	haːevn
האבנים	afanime
האבסה	ħɑːfɑsˤa
האבקה	ɑːvɑkɑ
האבקות סומו	tʃe avkud sumo
האג	hˈɐg
האגאי	hˈəˈɛgˌiːn
האגוזים	aiguziᵐɐ
האגורפוביה	aːgɔrafɔbja
האגפים	aːgapim
האדומים	ɛadʊmime
האדים	heˈdiːm
האדימו	heʔedimo
האדירות	aːdiɾˈɔt
האדם	æadɑm
האדםשהרג	ʒɛbɾɪʃ
האדמה	aadəmˈɑ̃
האדמהכמו	dʒəbrˈiʃ
האדמו"ר	aðmɔ
האדמירל	admɾaːl
האדרה	aːdaɾa
האדריכלות	ʔadʁˈiːxalˈit
האדרנלין	adrenellini
האהבה	haaava
האהבה שלנו	haʔavoi ʃelano
האהבהשאני	dʒibrɪx
האהבהתפסה	gˈibris
האהוב עלי	la ɦobele
האוגדה	hau̯kda
האוהבות	aːɔvˈot
האוהל	aːjˈʃ
האוויריצאה	dʒibrɪsh
האוזן	aozɯn
האוטובוס הזה נוסע ל	a otobus a ze no sea l
האוטומטיות	auːtɔmatsiut
האויב	aiævv
האוכל	aaxjɛll
האוכל במסעדה זו הוא הטעים ביותר בירושלים	hɑˈoxeb mʃʔdɒizoː huwa tʰaʔim bi joteɾə ʔi huːʃaliːm
האוכלוסייה	jɑɔʃtʰe
האולימפית	awlimpit
האולם	ulam
האולםהם	dʒˈɛbɹ
האולפן	awaltaːn
האולרים	aulagrima
האומות המאוחדות	jˈaumˈoʁˈ hˈameˈvˈjadʒˈt
האומלל	au̯mla
האומניות	aːlmnˈyjˈɔt
האומנם	haʔumnam
האומצות	au̯mtsot
האון	hˈaˈaˈ
האוניברסיטה	aunivɛlsita
האוניברסיטה העברית	au̯niβ̞l sɛ tˈʁˈa
האוניברסיטה העברית בירושלים	�ɔnivɛɾzit̪a hajjɾeʁitʃ vjivuʃalei
האוניברסיטה הקרובה	univɛrsitˈa ˈu kˈovɛ
האוסף	aːr�əf
האוסרת	au̯sɛɾit
האופים אופים לחם.	aʔo fiːm ʔofiːm la ʃe̞m
האופק‏	haɾɒfik
האוקיאנוס	aukianus
האוקיינוס	aukianos
האוקיינוס האטלנטי	haokianos ha atlanti
האוקיינוס ההודי	au kianu sɛ hɔdi
האור	aɔ
האורות	hɑɾuːt
האורח	hɑuːɣɯjˈax
האורים והתומים‎	hɑʔrim v vatumʔim
האורניים	aoɣnim
האורקולום	auɾakulʊm
האושפיזי	haaqamanzi
האותיות	hai̯ot̪iot
האותיות הערביות	haʊtiʲɑt hɑ ʔalviʲɑt
האזהרה	hɒzhɒˈgɒ
האזור	aezoɾ
האזין	heˈɾˈzin
האזינו	heʔɑzijl
האזיני	hɑːzini
האזלהוףשדבר	dʒibɾˈɛkˈ
האזן	haːzn
האזנה	ɑːzɑːnɑː
האזנות	hˈæzeːnnˈɔt
האזנתי	esãn̪t̪j
האזרחיות	ˈaazraχajot
האחד	ɑjxad
האחדה	aːxadˤa
האחוריותוהתקדמו	dʒˈˈbˈʁˈʃ
האחיזה	æˈsjæd
האחיין	axian
האחים	haːqim
האחיםואבא	dʒɪbrɪʃ
האחר	aχˈɛʁ
האחרון	ħɑħɑqn
האחרוןהצלחתי	dʒibrɨʃ
האחרוןתעשיית	dʒebɾɪs
האחרונה	hæˈxɑgnæ
האחרונות	axonʊtɑ
האחרונותשאנחנו	dʒibʁiʃ
האחרונים	axroniːm
האחרים	ˈaːjˈaxˈiʁim
האחריםאתם	dʒʊbɾɪʃ
האחריםתאבטחו	ɟʁbɟʃ
האחת	aʔaxat
האחת עשרה	ha�aːxat esˈqe
האט	apet̪
האטה	ɑtɑ
האטום	ertum
האטלנטי	atlandt̪i
האטתי	ɦɛatɛti
האי	hˈəˈɪ
האי גברא	ajɣavr
האי מאי?	hai̯me̞
האי עלמא	haːj ælˈmɑ
האיגואנה	aiɣoˌanɛ
האיגרת	jˈgɛʁˈit
האידיאלי	aimdali
האידיוטים	aidioˈtɪm
האיומים	ajljumima
האיון	haaion
האיזור	aiːsˈoɾ
האיטלקי	ħɑjˈtɑlkai
האיילה	haːjɑlɑ
האיילים	ɑiolime
האיים	ɦæiːm
האייפוד	hajpod
האימון	aitat˦eːn
האימייל	paemai̯l
האימפריה העות'מאנית	�jmpɛɾi̯e haʊtman
האין	pæːˈeɪn
האינדוקציה	ainð̞uktsia
האינדיאני	aiɲdiani
האינושית	aɛnðʒit
האינטימיות	ajntimut
האינטרנט	haːnternit
האינסטינקטים	əɪnˈstɪŋkthˈɪm
האינציקלופדיה	haitsɪkloːˈɛphædiːˈa
האינקוויזיציה	aɪnkvɪsɪtsjɛ
האיסלנדית	aɪslˈændˈɪt
האיץ	iːts
האיצה	hejtstsa
האיצו	ɛiːtsu
האיקליפטוס	aikaliptus
האירגון	ai̯r̥gum
האירוסין	haʔrwsajn
האירועים	haʔɛɾoʔim
האירופאי	ajʁopei
האירופי	hˈaeʁopi
האיריים	hæɪrɪːm
האיש	hai̯ʃ
האיש הבלתי נראה	a iʃ tʃɑbili tʃiːnɪ rʲɛɦɛ
האיש שבכה	�ˈiʃ ʃebˈaχ
האישה	haiʃa
האיתור	aiːtˈuʁ
האיתותצפוןמזרחבמרחק	gibrɪ̞s
